history_id,station_name,province,lon,lat,elev (m),HDD (degC-day),Tmean (degC),Tmax (degC),Tmin (degC)
3101,BEAVER MINES,AB,-114.177,49.4672,1257,4841.043478,4.925193305,22.52083333,-27.4
3103,BIGHORN DAM,AB,-116.333,52.3167,1341,5516.118182,3.066751012,20.41818182,-26.60909091
3106,BOW VALLEY,AB,-115.067,51.0833,1298,5186.453846,3.985169195,20.98,-28.68
3114,CAMERON FALLS,AB,-113.917,49.05,1311,4679.6625,5.270892575,23.0625,-25.725
3123,COLEMAN,AB,-114.583,49.6333,1341,5273.244444,3.671854711,21.4,-27.41
3131,CROWSNEST,AB,-114.482,49.6275,1303,5156.4,3.999357503,20,-25.72352941
3135,ELBOW RS,AB,-114.7,50.9,1400,5795.4,1.877449065,18.54615385,-29.36153846
3153,JASPER,AB,-118.067,52.8833,1062,5299.483333,3.314508646,19.36923077,-29.1
3154,JASPER WARDEN,AB,-118.03,52.9264,1020,5383.933333,3.40405703,21.125,-28.03333333
3159,KANANASKIS,AB,-115.035,51.0275,1391,5226.666667,3.677717655,20.49655172,-27.87241379
3161,KANANASKIS POCATERRA,AB,-115.12,50.7125,1610,6183.138462,0.901406384,18.14666667,-27.87333333
3167,LAKE LOUISE,AB,-116.217,51.4333,1524,6336.6125,0.399581006,18.28181818,-27.50909091
3189,NORDEGG RS,AB,-116.05,52.5,1320,6190.9125,1.038334742,18.12727273,-31.18181818
