history_id,station_name,province,lon,lat,elev (m),annual_pr (mm)
2414,FORESTBURG PLANT SITE,AB,-112.12,52.4675,663,406
2417,FORT SASKATCHEWAN,AB,-113.183,53.7167,620,460
2431,GWYNNE,AB,-113.183,52.95,768,486
2455,KINSELLA RANCH,AB,-111.517,53,705,418
2459,LAVOY,AB,-111.867,53.5333,670,458
2468,LLOYDMINSTER A,AB,-110.072,53.3092,668,426
2474,HOLDEN SOUTH,AB,-112.267,53.0833,709,422
2486,MONITOR,AB,-110.55,52.0167,732,398
2501,PARADISE VALLEY,AB,-110.35,53.1167,658,404
2511,RANFURLY,AB,-111.65,53.45,686,421
2513,RANFURLY 2NW,AB,-111.733,53.4167,673,465
2528,ST LINA,AB,-111.45,54.3,633,488
2542,SION,AB,-114.117,53.8833,701,497
2553,SULLIVAN LAKE,AB,-111.95,52.05,811,396
2560,TOFIELD NORTH,AB,-112.75,53.55,701,489
2570,VEGREVILLE CDA,AB,-112.033,53.4833,636,402
2591,WARWICK,AB,-111.983,53.65,610,420
2595,VEGREVILLE,AB,-112.098,53.5053,639,404
2601,WINFIELD,AB,-114.583,52.95,910,601
2616,HORBURG,AB,-115.2,52.4,1036,647
2618,UNIVERSITY OF ALBERTA METABOLIC CENTRE,AB,-113.533,53.5167,668,444
2676,CRAIGMYLE,AB,-112.283,51.7667,846,422
2686,DRUMHELLER ANDREW,AB,-112.867,51.4667,719,370
2692,ECKVILLE SOUTH,AB,-114.391,52.2847,960,536
2694,ELNORA,AB,-113.195,51.9639,930,450
2695,EMPRESS,AB,-110.006,50.9558,612,298
2713,HUXLEY,AB,-113.433,51.9106,914,457
2719,LACOMBE CDA,AB,-113.75,52.4667,847,439
2730,MADDEN,AB,-114.324,51.5042,1138,473
2731,MARKERVILLE,AB,-114.133,52.1167,914,539
2738,OLDS,AB,-114.1,51.7833,1040,492
2741,OYEN CAPPON,AB,-110.517,51.1667,793,328
2755,RED DEER,AB,-113.792,52.3108,847,473
2757,RED DEER A,AB,-113.893,52.1786,905,479
2765,SCOLLARD,AB,-112.867,51.9333,853,390
2767,SCOTFIELD,AB,-111.364,51.5834,762,313
2769,SIBBALD,AB,-110.248,51.475,725,313
2772,SIBBALD WESTGARD,AB,-110.146,51.4247,724,340
2786,SYLVAN LAKE,AB,-114.167,52.35,921,553
2793,TROCHU EQUITY,AB,-113.2,51.7833,854,408
2838,BROOKS AHRC,AB,-111.85,50.55,758,342
2839,BROOKS NORTH,AB,-111.883,50.6167,759,351
2847,CALDWELL,AB,-113.633,49.1667,1286,681
2862,CARDSTON,AB,-113.242,49.1317,1193,538
2870,CARMANGAY VILLAGE,AB,-113.112,50.1244,939,395
2871,CARWAY,AB,-113.376,48.9997,1354,534
2880,CLARESHOLM WATERWORKS,AB,-113.711,50.0189,1008,437
2883,COCHRANE,AB,-114.434,51.1969,1332,461
2886,CONNELLY CREEK,AB,-114.215,49.6161,1249,574
2891,COWLEY OLIN CREEK,AB,-114.067,49.7,1234,484
2893,CLARESHOLM MEADOW CREEK,AB,-113.738,49.9375,1035,453
2902,FOREMOST,AB,-111.446,49.477,892,373
2906,FORT MACLEOD,AB,-113.4,49.7167,950,425
2911,FORT MACLEOD NORTH,AB,-113.283,49.8667,953,406
2912,GLEICHEN,AB,-113.05,50.8833,905,352
2923,HERRONTON EAST,AB,-113.348,50.5997,1056,407
2924,HIGH RIVER,AB,-114.167,50.4833,1219,515
2938,LETHBRIDGE A,AB,-112.8,49.6303,929,393
2943,LETHBRIDGE CDA,AB,-112.767,49.695,910,350
2955,MEDICINE HAT A,AB,-110.721,50.0189,717,322
2963,MONARCH,AB,-113.161,49.8144,947,419
2964,MOSSLEIGH,AB,-113.281,50.6594,1067,454
2965,MOSSLEIGH BURNAY,AB,-113.302,50.7172,945,368
