history_id,station_name,province,lon,lat,elevation (m),Tmean,Tmin (degC),Tmax (degC),HDD (degC-day)
1597,GLACIER NP MT FIDELITY,BC,-117.701,51.2382,1890,0,-23,19,6358
1615,CHETWYND A,BC,-121.627,55.6872,610,3,-32,20,5414
1620,DAWSON CREEK A,BC,-120.182,55.7417,655,2,-36,21,5892
1630,FORT ST JOHN A,BC,-120.74,56.2381,695,2,-32,22,5761
1634,GERMANSEN LANDING,BC,-124.701,55.7855,766,2,-34,20,6023
1643,MACKENZIE A,BC,-123.138,55.3053,690,3,-32,20,5544
1683,DEASE LAKE,BC,-130.011,58.4283,807,0,-36,19,6799
1686,FORT NELSON A,BC,-122.597,58.8364,382,0,-35,23,6740
1692,FORT NELSON UA,BC,-122.573,58.8414,378,1,-33,23,6341
1701,MUNCHO LAKE,BC,-125.767,58.93,837,1,-34,21,6452
1706,TETSA RIVER,BC,-124.236,58.6531,810,-1,-32,19,6769
1717,DEASE LAKE (AUT),BC,-130.025,58.4261,801,0,-34,17,6774
1719,ATLIN,BC,-133.7,59.5667,674,1,-30,18,6174
1724,BOB QUINN AGS,BC,-130.25,56.9668,610,3,-28,18,5339
1741,PLEASANT CAMP,BC,-136.367,59.45,274,3,-22,19,5556
1769,BURWASH A,YT,-139.05,61.3667,806,-3,-38,18,7855
1774,CARMACKS CS,YT,-136.192,62.115,543,-2,-41,18,7456
1782,DAWSON A,YT,-139.128,64.0431,370,-4,-46,19,8213
1796,FARO A,YT,-133.373,62.2069,716,-2,-41,18,7638
1829,MAYO A,YT,-135.867,63.6167,504,-2,-43,22,7358
1833,MCQUESTEN,YT,-137.523,63.5942,458,-3,-46,21,7874
1845,OTTER FALLS NCPC,YT,-137.05,61.0333,830,-2,-34,18,7034
1848,PELLY RANCH,YT,-137.311,62.83,445,-3,-46,21,7710
1865,DAWSON,YT,-139.127,64.0609,370,-4,-42,14,7891
1879,TESLIN A,YT,-132.736,60.1741,705,-1,-32,17,6751
1887,WATSON LAKE A,YT,-128.822,60.1165,687,-2,-41,20,7440
1893,WHITEHORSE A,YT,-135.069,60.7095,706,0,-36,19,6648
1896,WHITEHORSE RIVERDALE,YT,-135.027,60.71,640,0,-37,21,6522
1912,CAPE PARRY A,NT,-124.717,70.1667,87,-11,-37,11,10993
1919,DELINE CS,NT,-123.433,65.2086,213,-6,-37,17,8958
1922,DELINE A,NT,-123.436,65.2111,214,-6,-39,22,8791
1928,FORT GOOD HOPE CS,NT,-128.644,66.2422,82,-4,-40,22,8620
1930,FORT LIARD A,NT,-123.467,60.235,216,-1,-36,23,6933
1932,FORT LIARD,NT,-123.467,60.2333,213,0,-33,20,6779
1942,FORT PROVIDENCE,NT,-117.602,61.3169,162,-2,-37,20,7490
1944,FORT RELIANCE,NT,-109.167,62.7167,166,-7,-42,19,9013
1951,FORT SIMPSON A,NT,-121.237,61.7603,169,-3,-38,23,7609
1959,FORT SMITH A,NT,-111.962,60.0203,205,-2,-37,23,7277
1968,HAY RIVER A,NT,-115.783,60.8397,165,-2,-36,23,7488
1979,INUVIK A,NT,-133.483,68.3042,68,-8,-41,20,9618
1994,NORMAN WELLS A,NT,-126.8,65.2825,73,-5,-41,23,8461
2004,PAULATUK,NT,-124.083,69.3578,6,-8,-36,17,9755
2015,RAE LAKES,NT,-117.328,64.1117,221,-5,-40,20,8431
2029,TUKTOYAKTUK A,NT,-133.026,69.4333,4,-10,-39,20,10160
2031,TUKTOYAKTUK,NT,-133.017,69.4333,5,-9,-38,21,9908
2042,YELLOWKNIFE A,NT,-114.44,62.4628,206,-4,-39,20,8142
2044,YELLOWKNIFE-HENDERSON,NT,-114.383,62.45,200,-3,-38,23,7927
2064,BAKER LAKE A,NU,-96.0778,64.2989,19,-11,-41,17,10721
2080,KUGLUKTUK A,NU,-115.144,67.8167,23,-10,-40,19,10272
2086,CORAL HARBOUR A,NU,-83.3594,64.1933,62,-11,-41,13,10740
2109,LUPIN A,NU,-111.25,65.7592,490,-11,-40,19,10536
2112,KUGAARUK A,NU,-89.7972,68.5406,16,-13,-44,18,11210
2117,RANKIN INLET A,NU,-92.1167,62.8167,32,-10,-40,16,10349
2132,WHALE COVE A,NU,-92.5981,62.24,12,-10,-39,16,10077
2141,ALERT,NU,-62.2806,82.5178,30,-18,-43,10,13051
2163,CAMBRIDGE BAY A,NU,-105.138,69.1081,31,-14,-42,15,11537
2169,CAPE DORSET A,NU,-76.525,64.2303,48,-9,-34,14,9831
2173,CAPE DYER A,NU,-61.6167,66.5833,393,-12,-39,11,10604
2179,CLYDE A,NU,-68.5167,70.4861,27,-13,-40,11,11260
2193,EUREKA A,NU,-85.9333,79.9833,10,-19,-48,11,13336
2204,HALL BEACH A,NU,-81.2425,68.7758,9,-13,-41,14,11516
2212,IGLOOLIK,NU,-81.8,69.3833,21,-13,-40,14,11156
2214,IGLOOLIK A,NU,-81.8167,69.3667,53,-13,-41,14,11255
2216,IQALUIT A,NU,-68.55,63.75,34,-9,-39,15,10033
2252,POND INLET A,NU,-77.9689,72.6894,62,-15,-42,12,11796
2263,RESOLUTE CARS,NU,-94.9694,74.7169,68,-15,-42,10,12261
2274,TALOYOAK A,NU,-93.5833,69.55,27,-14,-42,14,11633
2290,ULUKHAKTOK A,NT,-117.806,70.7628,36,-11,-40,17,10701
2297,SACHS HARBOUR CLIMATE,NT,-125.254,71.9925,88,-12,-37,13,11009
2299,SACHS HARBOUR A,NT,-125.267,72,86,-13,-41,14,11407
2309,ALLIANCE SOUTH,AB,-111.783,52.4167,713,4,-30,24,5269
