history_id,station_name,province,lon,lat,elev (m),TwJul2.5 (degC)
7710,FREDERICTON CDA CS,NB,-66.6089,45.9203,35,22.3
7712,FUNDY PARK (ALMA) CS,NB,-64.95,45.6,43,20.5
7721,GRAND MANAN SAR CS,NB,-66.8019,44.7121,78,20.9
7746,KOUCHIBOUGUAC CS,NB,-65.0167,46.7833,21,22.5
7764,MISCOU ISLAND (AUT),NB,-64.4942,48.0089,4,21.1
7766,MONCTON A,NB,-64.6838,46.1053,71,21.9
7790,POINT ESCUMINAC (AUT),NB,-64.8,47.0667,4,21.1
7792,POINT LEPREAU CS,NB,-66.4492,45.0731,6,18.5
7814,SAINT JOHN A,NB,-65.8856,45.3181,109,19.7
78217859,ST LEONARD COMPOSITE,NB,-67.8319,47.1578,242,21.5
7825,ST STEPHEN (AUT),NB,-67.25,45.2167,26,21.9
7866,AMHERST (AUT),NS,-64.2667,45.85,23,20.6
7887,BEAVER ISLAND (AUT),NS,-62.3333,44.8167,16,17.7
7888,BEDFORD BASIN,NS,-63.6342,44.7078,4,21.2
7901,BRIER ISLAND,NS,-66.3467,44.2858,16,18.6
7911,CARIBOU POINT (AUT),NS,-62.6833,45.7667,2,21.8
7918,CHETICAMP CS,NS,-60.9472,46.645,44,22.305
7932,DEBERT,NS,-63.4667,45.4167,38,21.9
7951,GRAND ETANG,NS,-61.05,46.55,13,22.2
7953,GREENWOOD A,NS,-64.9167,44.9833,28,22.5
7965,HART ISLAND (AUT),NS,-60.9833,45.35,8,19.6
7973,INGONISH BEACH RCS,NS,-60.4064,46.6628,10,22.3
7979,KEJIMKUJIK 1,NS,-65.2031,44.4031,125,22.5
7983,KENTVILLE CDA CS,NS,-64.4833,45.0667,49,22.7
8004,LUNENBURG,NS,-64.2961,44.36,4,19.5
8012,MALAY FALLS,NS,-62.4833,44.9833,40,21.5
8020,MCNABS ISLAND (AUT),NS,-63.5333,44.6,15,19.6
8044,NORTH MOUNTAIN CS,NS,-60.6722,46.8169,439,20.7
8053,PARRSBORO,NS,-64.3461,45.4133,31,20.7
8080,SABLE ISLAND,NS,-60.0094,43.9322,5,19
8087,ST PAUL ISLAND (AUT),NS,-60.1444,47.2328,27,18.8
8122,SYDNEY A,NS,-60.0481,46.1667,62,21.6
8146,WESTERN HEAD,NS,-64.6642,43.99,10,18.8
8164,YARMOUTH A,NS,-66.0886,43.8308,43,19.8
8177,CHARLOTTETOWN A,PE,-63.1286,46.2886,49,21.5
8184,EAST POINT (AUT),PE,-61.9883,46.46,8,21.2
8201,NORTH CAPE,PE,-63.9986,47.0581,8,21.9
8219,MAPLE PLAINS,PE,-63.5756,46.3028,46,21.5
8223,ARGENTIA (AUT),NL,-53.9933,47.2939,19,17.5
8227,BADGER (AUT),NL,-56.0667,48.9667,103,20.8
8237,BONAVISTA,NL,-53.1142,48.6672,26,19.1
82478248,BURGEO COMPOSITE,NL,-57.6167,47.6167,11,17
8255,CAPE RACE (AUT),NL,-53.0764,46.66,27,17
8276,CORNER BROOK,NL,-57.9167,48.9333,152,20.2
8280,DANIELS HARBOUR,NL,-57.5811,50.2364,19,18.1
8283,DEER LAKE A,NL,-57.4,49.2167,22,20.2
8292,ENGLEE (AUT),NL,-56.1128,50.7211,30,17.7
8294,FEROLLE POINT (AUT),NL,-57.1,51.0167,6,16.7
8344,LA SCIE,NL,-55.6667,49.9167,194,19.9
8371,PORT AUX BASQUES,NL,-59.1547,47.5739,40,17.3
8388,ROCKY HARBOUR CS,NL,-57.8778,49.57,68,20.1
8395,ST ANTHONY,NL,-56.1,51.3833,29,18.3
8423,STEPHENVILLE A,NL,-58.55,48.5333,25,19.3
8430,TERRA NOVA NAT PARK CS,NL,-53.9744,48.5569,107,20.6
8454,WINTERLAND,NL,-55.3275,47.1364,29,20
8458,GRATES COVE,NL,-52.9392,48.1719,46,19.6
8460,POOLS ISLAND,NL,-53.5811,49.1122,19,19.3
8465,MARTICOT ISLAND,NL,-54.5853,47.3283,22,16.7
8497,NAIN,NL,-61.6833,56.55,8,15.4
8767,VICTORIA INT'L A,BC,-123.426,48.6472,20,17.9
8769,VANCOUVER INT'L A,BC,-123.182,49.195,4,18.9
8773,LUTSELK'E CS,NT,-110.69,62.4156,179,16.7
8775,CALGARY INT'L A,AB,-114.02,51.1139,1084,17.9
8785,SASKATOON DIEFENBAKER INT'L A,SK,-106.717,52.1667,504,20.8
8786,WINNIPEG RICHARDSON INT'L A,MB,-97.2333,49.9167,239,23.1
8789,OTTAWA MACDONALD-CARTIER INT'L A,ON,-75.6692,45.3225,114,23.1
8795,TORONTO LESTER B. PEARSON INT'L A,ON,-79.6306,43.6772,173,23.7
8799,L'ASSOMPTION,QC,-73.4347,45.8094,21,23.4
8800,L'ETAPE,QC,-71.2289,47.5622,791,18.9
8805,L'ACADIE,QC,-73.3494,45.2939,44,23.5
